n,win_pct,total_$,sharpe,max_dd_$,gross_loss_$,vs_baseline,name
1614,84.2627013630731,230885.91656358313,10.449985489137159,-4564.617501769855,-19578.99679336168,0.0,BASELINE (multi=15 live)
1614,84.2627013630731,230885.91656358313,10.449985489137159,-4564.617501769855,-19578.99679336168,0.0,"4. Conviction-tiered (p≥0.55, scale to 4%)"
1599,85.05315822388994,232017.5200850162,10.598169944065605,-4564.617501769855,-18447.393271928606,1131.6035214330768,5. VIX > 14 filter
924,85.28138528138528,174135.6281165269,11.680915777570858,-4564.617501769841,-11958.997456629735,-56750.28844705623,5b. VIX > 18 filter
1588,84.38287153652394,230457.11231392965,10.424853170945621,-4564.617501769855,-19542.302303015822,-428.8042496534763,6. Skip midday 11-14 ET
1614,85.31598513011153,264203.4865080061,10.972573790655703,-4930.137599952141,-19957.78953460919,33317.56994442298,7. ITM 0.5% offset
1607,86.43434971997512,295633.71540598926,11.779029890911787,-5306.844205843721,-19996.82749261537,64747.79884240613,7b. ITM 1% offset
1614,84.2627013630731,230885.91656358313,10.449985489137159,-4564.617501769855,-19578.99679336168,0.0,Theta protection 30 min
1614,84.2627013630731,230885.91656358313,10.449985489137159,-4564.617501769855,-19578.99679336168,0.0,Theta protection 60 min
1643,83.99269628727937,232599.04177183245,10.55745519242312,-4411.487484467652,-24227.940752162765,1713.1252082493156,Tight stop 30%
1614,84.2627013630731,231043.39013355772,10.457173811612211,-4564.617501769855,-19421.52322338709,157.47356997459428,Wider stop 70%
1756,84.68109339407745,254443.57238922652,11.231830153224848,-4564.617501769855,-19923.96692683371,23557.655825643393,Tight target 50%
1599,84.11507191994997,230705.3031991519,10.477213180114672,-4564.617501769855,-19578.99679336168,-180.61336443122127,Wider target 200%
