n,win_pct,total_$,sharpe,max_dd_$,gross_loss_$,vs_winner,name
242,95.0413223140496,58211.0784349271,19.517326100010774,0.0,-89.44655333659392,0.0,WINNER (ITM 2.5% target 30%)
242,95.0413223140496,58211.0784349271,19.517326100010774,0.0,-89.44655333659392,0.0,+ trailing 30% lock 50%
242,95.0413223140496,58211.0784349271,19.517326100010774,0.0,-89.44655333659392,0.0,+ trailing 20% lock 50%
270,94.44444444444444,58062.81485983009,19.18267574577256,0.0,-171.98445799839476,-148.26357509700756,+ trailing 15% lock 33%
242,95.0413223140496,58211.0784349271,19.517326100010774,0.0,-89.44655333659392,0.0,+ trailing 50% lock 50%
305,88.85245901639345,57074.02162421019,20.159829240405816,0.0,-644.7271001822821,-1137.0568107169092,+ cancel-on-flip
49,100.0,10469.280279036782,22.165792365196747,0.0,0.0,-47741.79815589031,+ max_per_symbol=3
81,98.76543209876543,18277.81059031698,20.538056316405825,0.0,-0.6465328759536533,-39933.26784461012,+ max_per_symbol=5
305,88.85245901639345,57074.02162421019,20.159829240405816,0.0,-644.7271001822821,-1137.0568107169092,+ trailing 20% + cancel-on-flip
49,100.0,10469.280279036782,22.165792365196747,0.0,0.0,-47741.79815589031,+ trailing 20% + max_per_symbol=3
66,87.87878787878788,10275.164552645478,21.09126127398609,0.0,-123.0729487949211,-47935.91388228162,+ all three (trail + flip + cap=3)
