n,win_pct,total_$,sharpe,max_dd_$,name,vs_winner
284,96.83098591549296,77376.60019637104,21.395691224773145,0.0,Single DTE=1,77376.60019637104
268,97.01492537313433,68288.7732340396,20.378775968071324,0.0,Single DTE=3,68288.7732340396
242,95.0413223140496,58211.0784349271,19.517326100010774,0.0,Single DTE=7,0.0
225,95.55555555555556,43780.50103779652,20.09412436519041,0.0,Single DTE=14,-14430.577397130575
225,94.66666666666667,40626.154711193405,19.78385103902242,-31.67642198754038,Single DTE=21,-17584.923723733693
225,94.66666666666667,37956.24875254871,19.33444413025886,-103.33249756853547,Single DTE=30,-20254.82968237839
267,96.62921348314607,68486.75404190208,20.31207512760702,0.0,"Multi-DTE [1,3,7]",10275.675606974983
243,96.70781893004116,56727.61278857052,21.400050075788272,0.0,"Multi-DTE [3,7,14]",-1483.465646356577
250,96.0,59683.618895040694,22.161344401920285,0.0,"Multi-DTE [1,7,14]",1472.540460113596
230,95.21739130434783,46375.82645195398,21.187630731499027,0.0,"Multi-DTE [7,14,30]",-11835.251982973117
191,97.38219895287958,40979.08568237154,21.65074165117672,0.0,"Multi-DTE [3,7,14,30]",-17231.99275255556
