month,variant,n,win_pct,total_$,sharpe,max_dd_$
Sep 2020 — recovery,DTE=7 (current winner),270,62.59259259259259,19154.22171651143,6.447124614687821,-3540.357839798402
Sep 2020 — recovery,DTE=1,331,70.69486404833837,25960.757849366753,7.509894542327553,-2668.9330187647865
Sep 2020 — recovery,DTE=3,303,68.64686468646865,23159.949642056068,7.101321224761417,-2369.694248929405
Sep 2020 — recovery,DTE=2,321,70.40498442367601,24909.45774307142,7.469666611048297,-2554.196407905958
Nov 2020 — election,DTE=7 (current winner),210,70.47619047619048,13686.36778834918,8.985491826087163,-1710.6519729648708
Nov 2020 — election,DTE=1,234,76.92307692307693,18359.69332526541,11.285604065923717,-1626.2109788823118
Nov 2020 — election,DTE=3,223,72.6457399103139,15719.848364363093,9.731750096093785,-1749.522750651845
Nov 2020 — election,DTE=2,226,73.89380530973452,16915.14436462289,10.265199172266493,-1735.6783055303404
Feb 2021 — bull continue,DTE=7 (current winner),251,90.0398406374502,39245.26890427111,15.888471096787127,-290.4977966905859
Feb 2021 — bull continue,DTE=1,291,87.2852233676976,47747.18781219629,18.267337093155703,-114.63571388458865
Feb 2021 — bull continue,DTE=3,279,87.09677419354838,42213.08346766044,18.137193109163842,-272.3940550725729
Feb 2021 — bull continue,DTE=2,283,87.63250883392226,43674.26471412562,18.69310621803006,-232.2316740697055
May 2021 — calm grind,DTE=7 (current winner),224,86.16071428571429,24196.604600318246,14.724787151239553,-1117.5030355623207
May 2021 — calm grind,DTE=1,250,85.2,32097.71091947674,17.686117371002876,-1146.8140386040495
May 2021 — calm grind,DTE=3,227,86.34361233480176,26437.530490466932,16.243868807787777,-1199.0166671120805
May 2021 — calm grind,DTE=2,237,86.49789029535864,28259.92938659514,16.830319908711722,-1205.745942071825
Aug 2021 — chop,DTE=7 (current winner),186,60.752688172043015,9959.645389499614,7.953586668722054,-2399.328386440803
Aug 2021 — chop,DTE=1,188,64.8936170212766,15186.541793164595,9.840609033965919,-2628.8554479125996
Aug 2021 — chop,DTE=3,186,62.365591397849464,11973.72057122887,8.595695617602004,-2564.969317749161
Aug 2021 — chop,DTE=2,188,62.76595744680851,13870.203789537589,9.396267897177244,-2619.227440047928
Nov 2021 — peak/correct,DTE=7 (current winner),172,73.83720930232558,8550.54791714274,4.9516153297765015,-4387.615237030586
Nov 2021 — peak/correct,DTE=1,185,78.37837837837837,17835.507860084494,10.049131360606669,-2410.22542923153
Nov 2021 — peak/correct,DTE=3,179,75.41899441340783,13571.559994309959,8.544188173349102,-2017.6886125884648
Nov 2021 — peak/correct,DTE=2,184,75.0,15789.791729248163,9.171895773286876,-2558.0696520794154
Jan 2022 — bear start,DTE=7 (current winner),270,94.81481481481482,78201.09098703404,29.913368212831696,0.0
Jan 2022 — bear start,DTE=1,387,93.28165374677002,95821.49690165964,31.9080087408527,0.0
Jan 2022 — bear start,DTE=3,311,94.53376205787781,86078.48533054627,33.98291034722549,0.0
Jan 2022 — bear start,DTE=2,352,93.4659090909091,89480.04811288088,33.87485096582638,0.0
Apr 2022 — bear continue,DTE=7 (current winner),344,81.1046511627907,73536.39528705862,24.801905308298224,-1044.6883140508871
Apr 2022 — bear continue,DTE=1,403,83.12655086848635,81738.31605892806,25.333216186829326,-1121.6672510082171
Apr 2022 — bear continue,DTE=3,365,84.10958904109589,73583.3576834451,26.82746110618063,-1147.0892992533554
Apr 2022 — bear continue,DTE=2,377,83.81962864721486,76440.70481334711,26.19177714694728,-1163.8929228970155
Jul 2022 — bear bounce,DTE=7 (current winner),297,83.5016835016835,50663.817125383765,27.842042457467695,0.0
Jul 2022 — bear bounce,DTE=1,396,83.58585858585859,64471.34571005734,27.251287025608008,0.0
Jul 2022 — bear bounce,DTE=3,335,83.5820895522388,56308.89631901326,29.342208298246106,0.0
Jul 2022 — bear bounce,DTE=2,366,84.42622950819673,61972.76080629307,29.21111583390343,0.0
Oct 2022 — capitulation,DTE=7 (current winner),305,82.62295081967214,52129.41374336237,15.467217587770785,-4125.768422102778
Oct 2022 — capitulation,DTE=1,432,84.02777777777779,71675.4360728286,15.101801657210324,-5442.741265002187
Oct 2022 — capitulation,DTE=3,390,81.7948717948718,68211.59228169383,14.882249935504209,-4825.154130648858
Oct 2022 — capitulation,DTE=2,410,84.14634146341463,70141.43193089613,14.638785559833495,-5122.965454526595
Feb 2023 — recovery,DTE=7 (current winner),226,88.93805309734513,36266.16670142293,15.676252300634735,-878.6694986281509
Feb 2023 — recovery,DTE=1,263,90.49429657794677,49446.69582239546,18.111695769532393,-904.5151832778502
Feb 2023 — recovery,DTE=3,247,90.2834008097166,44721.599868574995,16.62725700221651,-958.0471780343687
Feb 2023 — recovery,DTE=2,250,90.4,45823.39051606896,17.24531071195583,-963.272479314568
Mar 2023 — SVB,DTE=7 (current winner),338,79.28994082840237,50246.02774343564,13.631424484450212,-1126.9264512049704
Mar 2023 — SVB,DTE=1,411,82.7250608272506,67491.35109514407,14.93592926402946,-1320.5653224713024
Mar 2023 — SVB,DTE=3,383,79.89556135770235,56665.03298497788,13.237200993234355,-1277.465941207869
Mar 2023 — SVB,DTE=2,395,81.26582278481013,59731.10736296605,14.004664896835543,-1322.1850497837877
Dec 2025,DTE=7 (current winner),191,81.15183246073299,39513.36038929832,12.881111954243826,-823.8413473875917
Dec 2025,DTE=1,211,87.20379146919431,53133.859547358035,15.591385806204247,0.0
Dec 2025,DTE=3,198,84.34343434343434,45727.006382073516,13.501934569799307,-756.3148002629205
Dec 2025,DTE=2,203,85.22167487684729,49391.45946597762,14.73388487240832,-82.63276059652708
Jan 2026,DTE=7 (current winner),197,96.95431472081218,34774.70452757533,23.492794882676908,0.0
